millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
87148,2021,6,19,17,26,10,7.21,6,1.47,359.70,80.6,0.1,47.59502029,-120.66492462,29.48,97332.52,337.84,20.73,
87651,2021,6,19,17,26,10,7.24,6,1.47,359.70,80.6,0.1,47.59502029,-120.66492462,29.49,97333.64,337.74,21.01,
88156,2021,6,19,17,26,11,7.21,6,1.47,359.40,80.6,0.1,47.59502029,-120.66492462,29.55,97332.82,337.81,20.81,
88657,2021,6,19,17,26,11,7.24,6,1.47,359.40,80.6,0.1,47.59502029,-120.66492462,29.57,97335.67,337.56,21.08,
89161,2021,6,19,17,26,12,7.21,6,1.47,359.30,80.6,0.0,47.59502029,-120.66492462,29.56,97326.39,338.36,20.92,
89663,2021,6,19,17,26,12,7.18,6,1.47,359.30,80.6,0.0,47.59502029,-120.66492462,29.60,97331.60,337.92,21.07,
90167,2021,6,19,17,26,13,7.27,6,1.47,359.40,80.6,0.0,47.59502410,-120.66492462,29.63,97329.27,338.12,21.11,
90670,2021,6,19,17,26,13,7.21,6,1.47,359.40,80.6,0.0,47.59502410,-120.66492462,29.64,97329.17,338.12,20.99,
91173,2021,6,19,17,26,14,7.18,6,1.47,359.40,80.6,0.0,47.59502410,-120.66492462,29.63,97325.78,338.41,20.86,
91676,2021,6,19,17,26,14,7.21,6,1.47,359.40,80.6,0.0,47.59502410,-120.66492462,29.59,97329.97,338.06,20.48,
92178,2021,6,19,17,26,15,7.27,6,1.47,359.20,80.6,0.0,47.59502410,-120.66492462,29.60,97330.26,338.03,20.68,
92683,2021,6,19,17,26,15,7.24,6,1.47,359.20,80.6,0.0,47.59502410,-120.66492462,29.56,97331.75,337.90,20.23,
93187,2021,6,19,17,26,16,7.27,6,1.47,359.10,80.6,0.0,47.59502410,-120.66492462,29.51,97332.06,337.88,20.73,
93689,2021,6,19,17,26,16,7.27,6,1.47,359.10,80.6,0.0,47.59502410,-120.66492462,29.51,97331.65,337.91,20.77,
94193,2021,6,19,17,26,17,7.24,6,1.47,358.90,80.6,0.0,47.59502410,-120.66492462,29.52,97330.60,338.00,20.70,
94697,2021,6,19,17,26,17,7.27,6,1.47,358.90,80.6,0.0,47.59502410,-120.66492462,29.50,97333.11,337.78,20.42,
95200,2021,6,19,17,26,18,7.21,6,1.47,358.70,80.6,0.0,47.59502410,-120.66492462,29.48,97333.46,337.75,19.93,
95705,2021,6,19,17,26,18,7.27,6,1.47,358.70,80.6,0.0,47.59502410,-120.66492462,29.47,97328.22,338.21,20.15,
96206,2021,6,19,17,26,19,7.18,6,1.47,358.70,80.6,0.0,47.59502410,-120.66492462,29.47,97331.30,337.94,20.21,
96707,2021,6,19,17,26,19,7.18,6,1.47,358.70,80.6,0.0,47.59502410,-120.66492462,29.49,97334.58,337.66,20.11,
97210,2021,6,19,17,26,20,7.16,6,1.47,358.60,80.6,0.1,47.59502410,-120.66492462,29.49,97327.88,338.23,20.12,
97715,2021,6,19,17,26,21,7.21,6,1.47,358.60,80.6,0.1,47.59502410,-120.66492462,29.48,97330.25,338.03,20.00,
98216,2021,6,19,17,26,21,7.21,6,1.47,358.50,80.6,0.1,47.59502410,-120.66492462,29.48,97328.91,338.14,20.10,
98720,2021,6,19,17,26,22,7.24,6,1.47,358.50,80.6,0.0,47.59502410,-120.66492462,29.48,97329.84,338.07,19.98,
99222,2021,6,19,17,26,22,7.24,6,1.47,358.30,80.6,0.0,47.59502410,-120.66492462,29.45,97332.49,337.84,19.66,
